 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
763,285,5721.993,3383,8482,0.854,1.601,0.624,0.933
764,280,5214.993,3403,6953,0.927,1.131,0.884,0.933
765,442,4566.747,3383,5736,0.917,1.045,0.957,0.951
766,459,5795.434,3395,8408,0.905,1.186,0.843,0.944
767,307,4372.573,3383,5395,0.890,1.325,0.755,0.921
768,322,5606.012,3383,8316,0.917,1.219,0.821,0.933
769,282,4798.131,3386,5956,0.893,1.167,0.857,0.929
770,329,4329.605,3407,5656,0.898,1.188,0.842,0.931
771,199,7311.990,3419,10845,0.915,1.157,0.864,0.923
772,274,5316.555,3412,6859,0.915,1.256,0.796,0.935
773,276,5914.094,3396,8717,0.904,1.256,0.796,0.932
774,293,4737.468,3387,6743,0.841,1.122,0.891,0.917
775,435,7386.326,3476,13667,0.811,1.505,0.665,0.910
776,283,4575.025,3383,6004,0.848,1.189,0.841,0.934
777,343,5416.015,3395,7555,0.937,1.162,0.860,0.948
778,292,5032.812,3389,6772,0.931,1.195,0.837,0.937
779,308,4524.971,3408,5999,0.853,1.223,0.818,0.939
780,345,4899.736,3395,6618,0.889,1.240,0.806,0.935
781,351,4537.661,3413,5617,0.889,1.310,0.763,0.934
782,489,5136.524,3382,6780,0.852,1.247,0.802,0.941
783,318,5514.613,3439,7220,0.912,1.043,0.959,0.934
784,402,4723.211,3400,6365,0.892,1.448,0.690,0.940
785,486,6486.747,3394,9050,0.912,1.102,0.907,0.947
786,275,5241.244,3386,7412,0.933,1.103,0.906,0.958
787,372,4442.368,3389,5408,0.831,1.511,0.662,0.929
788,285,5065.189,3395,7162,0.933,1.146,0.873,0.944
789,354,4218.393,3389,5654,0.803,1.423,0.702,0.921
790,295,4556.441,3398,5809,0.890,1.195,0.837,0.932
791,250,4038.976,3390,4791,0.597,1.696,0.590,0.833
792,492,5612.707,3427,7635,0.874,1.262,0.792,0.934
793,439,6376.100,3416,8909,0.924,1.129,0.886,0.944
794,336,5429.077,3399,7071,0.931,1.186,0.843,0.952
795,294,3938.187,3390,5000,0.621,1.564,0.639,0.834
796,377,4502.886,3388,5704,0.855,1.315,0.761,0.939
797,293,4374.164,3398,5753,0.856,1.361,0.735,0.920
798,301,4755.927,3399,6625,0.864,1.308,0.765,0.930
799,285,4006.639,3384,4854,0.820,1.259,0.794,0.900
800,354,4325.133,3383,5721,0.805,1.099,0.910,0.915
801,490,4428.229,3395,5627,0.883,1.240,0.806,0.944
802,325,3947.034,3383,4763,0.779,1.213,0.824,0.908
803,467,6696.167,3413,9864,0.894,1.216,0.822,0.949
804,489,6466.548,3424,9420,0.852,1.231,0.812,0.934
805,319,4472.498,3428,5691,0.956,1.225,0.817,0.955
806,308,4379.614,3387,5447,0.841,1.150,0.870,0.913
807,317,4425.937,3390,5967,0.878,1.227,0.815,0.946
808,294,4718.228,3404,5940,0.890,1.113,0.899,0.929
809,324,4143.460,3392,5589,0.701,1.118,0.894,0.890
810,436,4508.553,3382,5892,0.756,1.220,0.820,0.922
811,315,4379.705,3385,5805,0.851,1.507,0.664,0.936
812,474,6691.426,3399,9318,0.902,1.159,0.863,0.945
813,391,7972.560,3387,11677,0.922,1.076,0.930,0.944
814,382,4618.387,3386,6101,0.861,1.111,0.900,0.925
815,311,4545.193,3387,6295,0.864,1.303,0.768,0.923
816,303,4133.710,3388,5419,0.768,1.287,0.777,0.907
817,497,6542.885,3394,11844,0.854,1.151,0.869,0.920
818,296,4540.422,3401,5757,0.927,1.067,0.937,0.940
819,311,5406.331,3398,7977,0.918,1.128,0.887,0.934
820,440,5198.398,3446,7007,0.899,1.259,0.794,0.946
821,331,4170.015,3388,5218,0.853,1.216,0.823,0.921
822,302,4679.563,3386,6157,0.860,1.161,0.861,0.918
823,408,7766.605,3392,10954,0.905,1.194,0.837,0.939
824,292,4960.288,3386,6653,0.914,1.162,0.860,0.936
825,325,4197.797,3383,5771,0.858,1.390,0.720,0.922
826,207,6927.826,3400,10714,0.831,1.234,0.810,0.896
827,304,4530.184,3424,5561,0.888,1.210,0.826,0.935
828,474,4565.371,3387,5902,0.755,1.393,0.718,0.894
829,433,3885.855,3394,4621,0.749,1.119,0.894,0.902
830,308,4671.607,3386,5965,0.847,1.357,0.737,0.932
831,464,6389.058,3385,8917,0.928,1.169,0.855,0.953
832,353,4074.720,3387,5385,0.859,1.157,0.865,0.925
833,465,4606.802,3382,6464,0.857,1.267,0.789,0.936
834,354,4118.641,3391,5147,0.882,1.187,0.842,0.937
835,313,4640.725,3404,5935,0.931,1.088,0.919,0.941
836,302,4843.874,3393,6215,0.869,1.217,0.821,0.931
837,312,4777.061,3402,6494,0.823,1.272,0.786,0.924
838,306,4870.157,3395,6733,0.871,1.108,0.903,0.923
839,343,4661.327,3387,6015,0.905,1.162,0.861,0.932
840,349,4616.779,3398,6060,0.844,1.290,0.775,0.927
841,305,4667.046,3391,6288,0.875,1.032,0.969,0.921
842,383,4070.399,3382,4957,0.787,1.142,0.876,0.907
843,339,4065.835,3385,5429,0.776,1.167,0.857,0.913
844,183,7101.213,3426,11228,0.901,1.294,0.773,0.917
845,299,3841.124,3385,4747,0.627,1.467,0.682,0.845
846,348,5168.118,3384,6834,0.925,1.118,0.895,0.951
847,280,3883.236,3383,4663,0.609,1.400,0.714,0.856
848,323,4143.947,3391,5245,0.753,1.218,0.821,0.897
849,290,5131.514,3389,7375,0.918,1.275,0.784,0.932
850,304,4051.628,3387,5004,0.802,1.139,0.878,0.901
851,309,4625.217,3405,6152,0.902,1.105,0.905,0.920
852,387,4206.457,3383,5248,0.853,1.130,0.885,0.915
853,299,4898.120,3402,6542,0.936,1.180,0.847,0.945
854,373,4442.753,3397,5967,0.900,1.201,0.833,0.940
855,249,6036.574,3426,8194,0.895,1.109,0.902,0.922
856,229,6698.646,3400,9479,0.939,1.154,0.866,0.935
857,214,6946.187,3394,10538,0.945,1.193,0.838,0.939
858,294,5591.779,3390,7915,0.955,1.088,0.919,0.945
859,441,4585.179,3388,6141,0.829,1.256,0.796,0.916
860,309,4373.453,3384,5548,0.886,1.154,0.867,0.922
